experiment,runs,meanRewards,stdevRewards,meanRewardTrend,meanFiringRateHz,meanWeightDelta,plasticityRunRatio,activeRunRatio,meanPathLength,rewardDeltaVsBaseline,verdict
smoke-baseline,1,1.0,0.0,-1.0,5.074378333333333,-0.004903488849001825,1.0,1.0,43.749999999999204,0.0,reference
smoke-modified-current,1,0.0,0.0,0.0,3.230801666666667,0.0,0.0,1.0,33.64999999999941,-1.0,insufficient_repeats
