experiment,learningEnabled,repeats,meanEvaluationRewards,rewardStandardDeviation,meanRewardTrend,meanFinalFiringRateHz,meanWeightDelta,meanPathLength,simulatedToWallRatio,deltaRewardsVsBaseline,stableRunRatio,firingStable,verdict
poincare-001,True,1,0.0,0.0,0.0,3.6033333333333335,0.0,10.000000000000131,4.1556921762445675,0.0,1.0,True,reference
meitner-010-association-3p7,True,1,0.0,0.0,0.0,0.9366666666666666,0.0,1.7500000000001705,6.191375414048231,0.0,1.0,True,no_reward_gain
poincare-007-association-3p6,True,1,0.0,0.0,0.0,0.92,0.0,1.7500000000001137,4.77526413179729,0.0,1.0,True,no_reward_gain
meitner-011-association-3p5,True,1,0.0,0.0,0.0,0.9433333333333334,0.0,1.8500000000001364,4.395219934607917,0.0,1.0,True,no_reward_gain
