experiment,repeats,meanEvaluationRewards,rewardStandardDeviation,meanRewardTrend,meanFinalFiringRateHz,meanWeightDelta,meanPathLength,simulatedToWallRatio,deltaRewardsVsBaseline,firingStable,verdict
smoke-baseline,1,0.0,0.0,0.0,7.51,0.0,55.19999999999952,4.93106859215033,0.0,True,reference
smoke-modified-current,1,0.0,0.0,0.0,9.28,0.0,52.79999999999893,4.630948163481732,0.0,True,insufficient_repeats
