experiment,runs,meanRewards,stdevRewards,meanRewardTrend,meanFiringRateHz,meanWeightDelta,plasticityRunRatio,activeRunRatio,meanPathLength,rewardDeltaVsBaseline,verdict
smoke-modified-current,1,1.0,0.0,1.0,10.100055000000001,0.03441960689864931,1.0,1.0,84.39999999999908,1.0,insufficient_repeats
smoke-baseline,1,0.0,0.0,0.0,8.539768333333333,-0.1283347918853046,1.0,1.0,65.94999999999958,0.0,reference
