experiment,learningEnabled,repeats,meanEvaluationRewards,rewardStandardDeviation,meanRewardTrend,meanFinalFiringRateHz,meanWeightDelta,meanPathLength,simulatedToWallRatio,deltaRewardsVsBaseline,stableRunRatio,firingStable,verdict
poincare-001-learning,True,30,21.466666666666665,4.407934329986243,2.4,3.89,0.19029262943433392,1744.4725733148252,26.63772355009016,2.0666666666666664,1.0,True,promising
poincare-001-frozen,False,30,19.4,4.753220323977826,0.7333333333333333,3.7426666666666666,0.0,1690.787812071377,28.352922260562153,0.0,1.0,True,reference
