experiment,repeats,meanEvaluationRewards,rewardStandardDeviation,meanRewardTrend,meanFinalFiringRateHz,meanWeightDelta,meanPathLength,simulatedToWallRatio,deltaRewardsVsBaseline,stableRunRatio,firingStable,verdict
poincare-002-hunger-forward,10,4.2,1.9888578520235065,-0.2,3.7053333333333334,0.03532822164525153,309.2399999999791,22.057552462951087,1.8000000000000003,1.0,True,promising
poincare-001-topographic-actions,10,4.0,2.0,-0.2,3.8943333333333334,0.0366110773045528,284.2599999999861,20.230168608475132,1.6,1.0,True,promising
poincare-003-arc-approach,10,3.4,1.837873166945363,0.2,3.7983333333333333,0.012195852730869238,287.2249999999812,20.680710836289894,1.0,1.0,True,promising
baseline,10,2.4,2.0110804171997807,-0.6,1.1843333333333335,0.0604478262139148,218.84000000000015,17.272169931207536,0.0,0.9,True,reference
