experiment,repeats,meanEvaluationRewards,rewardStandardDeviation,meanRewardTrend,meanFinalFiringRateHz,meanWeightDelta,meanPathLength,simulatedToWallRatio,deltaRewardsVsBaseline,stableRunRatio,firingStable,verdict
baseline,12,2.4166666666666665,2.2343733444579588,-1.9166666666666667,0.21972222222222224,0.062161275313681985,173.5083333333334,35.08235624545291,0.0,0.75,False,reference
meitner-007-inhibition-minus3,12,2.0,2.412090756622109,-1.5,0.5391666666666667,0.057146264761716324,168.81666666666618,26.403881062470905,-0.4166666666666665,0.8333333333333334,True,no_reward_gain
meitner-009-inhibition-minus6,12,1.5,1.9771421064483223,-1.5,0.20555555555555557,0.028762004250809842,165.32916666666668,20.75280039801796,-0.9166666666666665,0.6666666666666666,False,unstable_firing
meitner-008-inhibition-minus4,12,1.4166666666666667,1.0836246694508316,-1.0833333333333333,0.2058333333333333,0.016948086713225157,176.41249999999943,23.210818851512435,-0.9999999999999998,0.75,False,unstable_firing
